8 0.59375
28 0.0229592
48 0.0212674
68 0.0211938
88 0.0218233
108 0.0259774
128 0.026001
148 0.0260683
168 0.0265023
188 0.0265392
208 0.0266734
228 0.027143
248 0.0274616
268 0.030171
288 0.0306592
308 0.0306439
328 0.0311013
348 0.0310064
368 0.0398231
388 0.0339768
408 0.0312019
428 0.0324264
448 0.0328195
468 0.0452553
488 0.0332446
508 0.0323641
528 0.0360243
548 0.037199
568 0.033866
588 0.0408539
608 0.0359056
628 0.0332645
648 0.0387279
668 0.0337297
688 0.0443546
708 0.0380558
728 0.0372917
748 0.0404608
768 0.0375383
788 0.036641
808 0.0386436
828 0.0383644
848 0.0376385
868 0.036005
888 0.0382528
908 0.040886
928 0.0385191
948 0.0402402
968 0.0397396
988 0.0397779
1008 0.0397455
1028 0.0411749
1048 0.039622
1068 0.0383562
1088 0.0385202
1108 0.0388649
1128 0.0410591
1148 0.0390317
1168 0.0388103
1188 0.0405592
1208 0.042886
1228 0.0412246
1248 0.041293
1268 0.0413229
1288 0.0410014
1308 0.0429982
1328 0.0419107
1348 0.0400913
1368 0.0449935
1388 0.0435869
1408 0.0442364
1428 0.0449621
1448 0.0414269
1468 0.0399207
1488 0.0432944
1508 0.0500606
1528 0.0487925
1548 0.0463522
1568 0.0497746
1588 0.0499773
1608 0.050582
1628 0.0431673
1648 0.0415442
1668 0.0438998
1688 0.0522471
1708 0.0489136
1728 0.0423566
1748 0.0423989
1768 0.0417829
1788 0.0420076
1808 0.0419106
1828 0.0423311
1848 0.0408362
1868 0.0398341
1888 0.0404453
1908 0.0430604
1928 0.0420692
1948 0.0421561
1968 0.0413919
1988 0.0406521
2008 0.0405797
2028 0.0413596
2048 0.0431702
2068 0.0412292
2088 0.0413079
2108 0.040846
2128 0.0402921
2148 0.0424552
2168 0.0407495
2188 0.0432812
2208 0.0436737
2228 0.0466337
2248 0.0457926
2268 0.0472462
2288 0.0515656
2308 0.0457894
2328 0.0443154
2348 0.042738
2368 0.0442182
2388 0.0415027
2408 0.0426948
2428 0.041455
2448 0.0434832
2468 0.0442177
2488 0.0427249
2508 0.0425988
2528 0.0429163
2548 0.042216
2568 0.042171
2588 0.0436602
2608 0.0437147
2628 0.0433729
2648 0.0439776
2668 0.0428479
2688 0.0429495
2708 0.0420451
2728 0.042884
2748 0.043064
2768 0.0424677
2788 0.0428616
2808 0.0434259
2828 0.0440546
2848 0.0423675
2868 0.0430544
2888 0.0429527
2908 0.0430117
2928 0.0430551
2948 0.0434339
2968 0.043104
2988 0.0439992
